,Title,views,Thumbnail
99,"Change of basis | Chapter 13, Essence of linear algebra",1.3M views,https://i.ytimg.com/vi/P2LTAUO1TdA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFOKzZBLEJ0g_sFZa7rlL35Gcy3A
100,"Cross products in the light of linear transformations | Chapter 11, Essence of linear algebra",903K views,
101,"Cross products | Chapter 10, Essence of linear algebra",1.3M views,
102,"Dot products and duality | Chapter 9, Essence of linear algebra",1.7M views,
103,"Nonsquare matrices as transformations between dimensions | Chapter 8, Essence of linear algebra",1.1M views,
104,"Inverse matrices, column space and null space | Chapter 7, Essence of linear algebra",2M views,
105,"The determinant | Chapter 6, Essence of linear algebra",2.7M views,
106,"Three-dimensional linear transformations | Chapter 5, Essence of linear algebra",1.4M views,
107,"Matrix multiplication as composition | Chapter 4, Essence of linear algebra",2.2M views,
108,"Linear transformations and matrices | Chapter 3, Essence of linear algebra",3.5M views,
109,"Linear combinations, span, and basis vectors | Chapter 2, Essence of linear algebra",3.7M views,
110,"Vectors | Chapter 1, Essence of linear algebra",5.7M views,
111,Essence of linear algebra preview,2M views,
112,Triangle of Power,730K views,https://i.ytimg.com/vi/sULa9Lc4pck/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHc4_hznRVXrp-vuSXO3m0UlKR-A
113,Snell's law proof using springs,174K views,https://i.ytimg.com/vi/Iq1a_KJTWJ8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWkatZPXWjVrVwZm4SEKZ8xRfAug
114,"The Brachistochrone, with Steven Strogatz",1.1M views,https://i.ytimg.com/vi/Cld0p3a43fU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbPbAsj8tpzE7AYwASdsslsVRVDA
115,Fractal charm: Space filling curves,1.8M views,https://i.ytimg.com/vi/RU0wScIj36o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSvyFVTgKeJYgGgn6do5L7q_S-pA
116,Music And Measure Theory,1.3M views,https://i.ytimg.com/vi/cyW5z-M2yzw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBl-gw1DLvxAu7XpFLcv_b_QE2AQA
117,How to count to 1000 on two hands,386K views,https://i.ytimg.com/vi/1SMmc9gQmHQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVO01p315R8MQsXIil95xAVkzUNA
118,What does it feel like to invent math?,3.4M views,https://i.ytimg.com/vi/XFDM1ip5HdU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDB3NeloiE3TZQ6af9JzVuNdcj6UA
119,Euler's Formula and Graph Duality,413K views,https://i.ytimg.com/vi/-9OUyo8NFZg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWHYBinExMhJq1B17j4Rz6H87puw
120,Circle Division Solution,511K views,https://i.ytimg.com/vi/K8P8uFahAgc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDae-dGbPk2cGwKb5paKLc-Cu4UFQ
121,A Curious Pattern Indeed,503K views,https://i.ytimg.com/vi/84hEmGHw3J8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1gfY9qLytXlSB5yBbM3z_nTNxow
122,Euler's Formula Poem,141K views,https://i.ytimg.com/vi/zLzLxVeqdQg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLALFyc0GkFnJdPEmL-JVTOXXWxXew
123,"e to the pi i, a nontraditional take (old version)",2.4M views,https://i.ytimg.com/vi/F_0yfvm0UoU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB959tRSS4r96lkTbC79pc9thC5AA
